City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,-1.84,93,100,1.12,CL,1690430265
1,isafjordur,66.0755,-23.124,6.76,88,97,5.32,IS,1690430265
2,iqaluit,63.7506,-68.5145,6.85,87,75,3.09,CA,1690430266
3,port-aux-francais,-49.35,70.2167,4.72,79,95,15.39,TF,1690430138
4,georgetown,5.4112,100.3354,31.96,82,20,2.57,MY,1690430048
5,ancud,-41.8697,-73.8203,8.03,93,100,2.81,CL,1690430266
6,ust-nera,64.5667,143.2,15.07,52,94,2.94,RU,1690430266
7,thompson,55.7435,-97.8558,13.09,88,100,1.54,CA,1690430266
8,suoyarvi,62.0833,32.35,15.41,80,100,0.84,RU,1690430266
9,waitangi,-43.9535,-176.5597,6.57,89,91,0.45,NZ,1690430267
10,road town,18.4167,-64.6167,28.05,77,100,7.92,VG,1690430213
11,itacare,-14.2775,-38.9967,21.05,85,54,3.54,BR,1690430267
12,pyu,18.4833,96.4333,28.98,80,64,1.89,MM,1690430267
13,tura,25.5198,90.2201,27.46,83,99,2.96,IN,1690430267
14,quixeramobim,-5.1992,-39.2928,20.64,86,2,1.14,BR,1690430267
15,la passe,45.5549,-0.8967,18.88,94,20,2.95,FR,1690430267
16,arraial do cabo,-22.9661,-42.0278,21.14,89,60,9.67,BR,1690430201
17,antsiranana,-12.2787,49.2917,21.42,73,20,6.17,MG,1690430268
18,iskateley,67.6803,53.1512,19.99,60,88,2.02,RU,1690430139
19,haradok,55.4624,29.9816,14.73,78,100,1.55,BY,1690430268
20,praia da vitoria,38.7333,-27.0667,22.64,88,20,3.12,PT,1690430268
21,san rafael abajo,9.831,-84.2901,23.88,91,100,1.31,CR,1690430268
22,cabo san lucas,22.8909,-109.9124,30.9,77,43,2.24,MX,1690430220
23,shimoda,34.6667,138.95,33.39,69,32,3.64,JP,1690430269
24,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,68,40,7.0,RU,1690430269
25,fisterra,42.9049,-9.2629,17.88,83,55,3.3,ES,1690430269
26,grytviken,-54.2811,-36.5092,0.93,99,100,5.41,GS,1690430269
27,necochea,-38.5473,-58.7368,8.37,78,99,5.77,AR,1690430269
28,edinburgh of the seven seas,-37.0676,-12.3116,10.84,50,64,9.61,SH,1690430269
29,san miguel panixtlahuaca,16.2484,-97.3843,19.2,96,100,1.34,MX,1690430269
30,adamstown,-25.066,-130.1015,19.66,61,29,5.37,PN,1690430270
31,port mathurin,-19.6833,63.4167,23.76,79,31,8.03,MU,1690430151
32,bilibino,68.0546,166.4372,11.6,68,99,1.5,RU,1690430270
33,san antonio de pale,-1.4014,5.6325,22.86,90,100,5.09,GQ,1690430190
34,fredericksburg,38.3032,-77.4605,26.62,89,0,3.09,US,1690430096
35,klyuchi,52.2667,79.1667,23.44,40,100,4.75,RU,1690430270
36,olonkinbyen,70.9221,-8.7187,4.71,89,100,4.57,SJ,1690430270
37,guerrero negro,27.9769,-114.0611,21.03,81,2,4.84,MX,1690430821
38,vernon,50.2581,-119.2691,23.2,35,2,1.03,CA,1690430271
39,khandud,36.9513,72.318,19.25,28,3,2.36,AF,1690430271
40,weihai,37.5017,122.1136,29.11,67,99,6.0,CN,1690430271
41,hermanus,-34.4187,19.2345,11.64,84,0,3.18,ZA,1690430233
42,chonchi,-42.6128,-73.8092,7.84,99,100,1.49,CL,1690430271
43,ushuaia,-54.8,-68.3,0.81,60,75,2.06,AR,1690430140
